Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES
2019-10-03,147.16024780273438,78.88443756103516,67.35417938232422,167.02999877929688,180.91189575195312,53.4578742980957,272.3999938964844,28.68000030517578,158.35992431640625,15.053995132446287
2019-10-04,147.7195587158203,79.77963256835938,68.09294128417969,169.25,184.64096069335935,54.8123664855957,276.9599914550781,29.01000022888184,158.43914794921875,15.2731351852417
2019-10-07,145.5391387939453,78.85523223876953,67.7919692993164,164.42999267578125,181.8855438232422,54.78270721435547,276.8999938964844,28.93000030517578,156.7848358154297,15.101634979248049
2019-10-08,142.90367126464844,76.39344024658203,67.06232452392578,159.49000549316406,177.39706420898438,53.51719665527344,270.8299865722656,28.229999542236328,152.88180541992188,14.77768898010254
2019-10-09,143.14068603515625,77.35674285888672,66.8525619506836,159.30999755859375,179.48065185546875,52.82512283325195,274.2699890136719,28.459999084472656,152.96107482910156,14.806270599365234
2019-10-10,144.39202880859375,77.9794921875,67.90140533447266,162.33999633789062,178.9840850830078,53.082176208496094,274.9800109863281,28.3799991607666,154.4866180419922,15.073050498962402
2019-10-11,149.8810577392578,77.79387664794922,68.13274383544922,169.63999938964844,180.09405517578125,54.19938659667969,278.2900085449219,29.75,157.07211303710938,15.254079818725586
2019-10-14,152.165771484375,77.9794921875,68.25303649902344,176.50999450683594,180.61007690429688,54.38723373413086,277.7799987792969,30.530000686645508,155.84375,15.235023498535156
2019-10-15,154.50733947753906,80.08970642089844,68.93778228759766,177.8699951171875,182.07054138183597,54.93101119995117,279.3900146484375,30.71999931335449,158.2311248779297,15.2636079788208
2019-10-16,153.74893188476562,79.89430236816406,69.16912841796875,178.6699981689453,182.43234252929688,54.960670471191406,272.70001220703125,30.809999465942383,161.22279357910156,15.368413925170898
2019-10-17,155.03823852539062,80.48048400878906,69.52999877929688,176.52000427246094,181.91407775878903,54.960670471191406,269.239990234375,31.13999938964844,162.21340942382812,15.473219871520996
2019-10-18,154.62112426757812,80.88102722167969,70.75145721435547,175.3000030517578,182.93104553222656,53.92255783081055,265.5199890136719,30.96999931335449,161.96575927734375,15.606608390808104
